image,obj_code,exemplar,background,location_index,clicked,participant,correct_answer,corr_count
D:\Yannick\taak_Noor\humanstim\humanstim\743\e9\w_background\loc3\image021.png,743,e9,w_background,3,dishwasher,ppn18,printer,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e1\a_background\loc2\image139.png,762,e1,a_background,2,microphone,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e2\t_background\loc1\image046.png,762,e2,t_background,1,mailbox,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e3\w_background\loc4\image034.png,762,e3,w_background,4,cellulartelephone,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e4\a_background\loc3\image167.png,762,e4,a_background,3,pirateship,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e5\t_background\loc9\image034.png,762,e5,t_background,9,mailbox,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e6\w_background\loc6\image034.png,762,e6,w_background,6,remote,ppn18,remote,1
D:\Yannick\taak_Noor\humanstim\humanstim\762\e7\a_background\loc8\image115.png,762,e7,a_background,8,pirateship,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e8\t_background\loc7\image082.png,762,e8,t_background,7,cab,ppn18,remote,0
D:\Yannick\taak_Noor\humanstim\humanstim\762\e9\w_background\loc5\image034.png,762,e9,w_background,5,remote,ppn18,remote,1
D:\Yannick\taak_Noor\humanstim\humanstim\766\e1\a_background\loc7\image138.png,766,e1,a_background,7,pirateship,ppn18,rockingchair,0
D:\Yannick\taak_Noor\humanstim\humanstim\766\e2\t_background\loc4\image067.png,766,e2,t_background,4,pirateship,ppn18,rockingchair,0
D:\Yannick\taak_Noor\humanstim\humanstim\766\e3\w_background\loc6\image067.png,766,e3,w_background,6,rockingchair,ppn18,rockingchair,1
D:\Yannick\taak_Noor\humanstim\humanstim\766\e4\a_background\loc5\image118.png,766,e4,a_background,5,rockingchair,ppn18,rockingchair,1
D:\Yannick\taak_Noor\humanstim\humanstim\766\e5\t_background\loc1\image043.png,766,e5,t_background,1,pirateship,ppn18,rockingchair,0
D:\Yannick\taak_Noor\humanstim\humanstim\766\e6\w_background\loc3\image067.png,766,e6,w_background,3,rockingchair,ppn18,rockingchair,1
D:\Yannick\taak_Noor\humanstim\humanstim\766\e7\a_background\loc2\image135.png,766,e7,a_background,2,pirateship,ppn18,rockingchair,0
D:\Yannick\taak_Noor\humanstim\humanstim\766\e8\t_background\loc8\image042.png,766,e8,t_background,8,chinacabinet,ppn18,rockingchair,0
D:\Yannick\taak_Noor\humanstim\humanstim\766\e9\w_background\loc9\image067.png,766,e9,w_background,9,rockingchair,ppn18,rockingchair,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e1\a_background\loc4\image104.png,780,e1,a_background,4,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e2\t_background\loc5\image057.png,780,e2,t_background,5,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e3\w_background\loc7\image001.png,780,e3,w_background,7,schoolbus,ppn18,schoolbus,1
D:\Yannick\taak_Noor\humanstim\humanstim\780\e4\a_background\loc3\image078.png,780,e4,a_background,3,schoolbus,ppn18,schoolbus,1
